,item1,item2,value,class
0,同事互動,同事互動,0.9999999999999999,人際價值
1,主管風格,同事互動,1.0,人際價值
2,產業前景,同事互動,-0.12499999999999999,組織文化與制度
3,面試,同事互動,1.0,招募資訊
4,工作,同事互動,0.6614378277661476,招募資訊
5,離職,同事互動,-0.12499999999999999,招募資訊
6,正向,同事互動,0.9191450300180578,情緒
7,負向,同事互動,-0.25,情緒
8,同事互動,主管風格,1.0,人際價值
9,主管風格,主管風格,1.0,人際價值
10,產業前景,主管風格,-0.125,組織文化與制度
11,面試,主管風格,1.0,招募資訊
12,工作,主管風格,0.6614378277661477,招募資訊
13,離職,主管風格,-0.125,招募資訊
14,正向,主管風格,0.9191450300180579,情緒
15,負向,主管風格,-0.25,情緒
16,同事互動,產業前景,-0.12499999999999997,人際價值
17,主管風格,產業前景,-0.125,人際價值
18,產業前景,產業前景,1.0,組織文化與制度
19,面試,產業前景,-0.125,招募資訊
20,工作,產業前景,-0.1889822365046136,招募資訊
21,離職,產業前景,-0.125,招募資訊
22,正向,產業前景,0.03282660821493065,情緒
23,負向,產業前景,0.5000000000000001,情緒
24,同事互動,面試,1.0,人際價值
25,主管風格,面試,1.0,人際價值
26,產業前景,面試,-0.125,組織文化與制度
27,面試,面試,1.0,招募資訊
28,工作,面試,0.6614378277661477,招募資訊
29,離職,面試,-0.125,招募資訊
30,正向,面試,0.9191450300180579,情緒
31,負向,面試,-0.25,情緒
32,同事互動,工作,0.6614378277661476,人際價值
33,主管風格,工作,0.6614378277661477,人際價值
34,產業前景,工作,-0.1889822365046136,組織文化與制度
35,面試,工作,0.6614378277661477,招募資訊
36,工作,工作,1.0,招募資訊
37,離職,工作,-0.1889822365046136,招募資訊
38,正向,工作,0.7196229171289243,情緒
39,負向,工作,-0.37796447300922725,情緒
40,同事互動,離職,-0.12499999999999997,人際價值
41,主管風格,離職,-0.125,人際價值
42,產業前景,離職,-0.125,組織文化與制度
43,面試,離職,-0.125,招募資訊
44,工作,離職,-0.1889822365046136,招募資訊
45,離職,離職,1.0,招募資訊
46,正向,離職,-0.2626128657194452,情緒
47,負向,離職,0.5000000000000002,情緒
48,同事互動,正向,0.9191450300180577,人際價值
49,主管風格,正向,0.9191450300180578,人際價值
50,產業前景,正向,0.03282660821493066,組織文化與制度
51,面試,正向,0.9191450300180578,招募資訊
52,工作,正向,0.7196229171289245,招募資訊
53,離職,正向,-0.26261286571944514,招募資訊
54,正向,正向,0.9999999999999998,情緒
55,負向,正向,-0.1313064328597226,情緒
56,同事互動,負向,-0.25,人際價值
57,主管風格,負向,-0.25,人際價值
58,產業前景,負向,0.5000000000000001,組織文化與制度
59,面試,負向,-0.25,招募資訊
60,工作,負向,-0.37796447300922725,招募資訊
61,離職,負向,0.5000000000000002,招募資訊
62,正向,負向,-0.1313064328597226,情緒
63,負向,負向,1.0,情緒
