,item1,item2,value,class
0,學習成長,學習成長,0.9999999999999998,成長價值
1,福利,學習成長,-0.4999999999999999,經濟報酬
2,工作氛圍,學習成長,-0.9999999999999998,人際價值
3,同事互動,學習成長,-0.5,人際價值
4,工作環境,學習成長,-0.9999999999999998,組織文化與制度
5,工學院,學習成長,-0.5,科系專業
6,工作,學習成長,-0.4999999999999999,招募資訊
7,正向,學習成長,-0.9999999999999998,情緒
8,負向,學習成長,-0.5,情緒
9,學習成長,福利,-0.4999999999999999,成長價值
10,福利,福利,0.9999999999999998,經濟報酬
11,工作氛圍,福利,0.4999999999999999,人際價值
12,同事互動,福利,-0.5,人際價值
13,工作環境,福利,0.4999999999999999,組織文化與制度
14,工學院,福利,-0.5,科系專業
15,工作,福利,-0.4999999999999999,招募資訊
16,正向,福利,0.4999999999999999,情緒
17,負向,福利,-0.5,情緒
18,學習成長,工作氛圍,-0.9999999999999998,成長價值
19,福利,工作氛圍,0.4999999999999999,經濟報酬
20,工作氛圍,工作氛圍,0.9999999999999998,人際價值
21,同事互動,工作氛圍,0.5,人際價值
22,工作環境,工作氛圍,0.9999999999999998,組織文化與制度
23,工學院,工作氛圍,0.5,科系專業
24,工作,工作氛圍,0.49999999999999983,招募資訊
25,正向,工作氛圍,0.9999999999999998,情緒
26,負向,工作氛圍,0.5,情緒
27,學習成長,同事互動,-0.5,成長價值
28,福利,同事互動,-0.5,經濟報酬
29,工作氛圍,同事互動,0.5,人際價值
30,同事互動,同事互動,1.0,人際價值
31,工作環境,同事互動,0.5,組織文化與制度
32,工學院,同事互動,1.0,科系專業
33,工作,同事互動,1.0,招募資訊
34,正向,同事互動,0.5,情緒
35,負向,同事互動,1.0,情緒
36,學習成長,工作環境,-0.9999999999999998,成長價值
37,福利,工作環境,0.4999999999999999,經濟報酬
38,工作氛圍,工作環境,0.9999999999999998,人際價值
39,同事互動,工作環境,0.5,人際價值
40,工作環境,工作環境,0.9999999999999998,組織文化與制度
41,工學院,工作環境,0.5,科系專業
42,工作,工作環境,0.49999999999999983,招募資訊
43,正向,工作環境,0.9999999999999998,情緒
44,負向,工作環境,0.5,情緒
45,學習成長,工學院,-0.5,成長價值
46,福利,工學院,-0.5,經濟報酬
47,工作氛圍,工學院,0.5,人際價值
48,同事互動,工學院,1.0,人際價值
49,工作環境,工學院,0.5,組織文化與制度
50,工學院,工學院,1.0,科系專業
51,工作,工學院,1.0,招募資訊
52,正向,工學院,0.5,情緒
53,負向,工學院,1.0,情緒
54,學習成長,工作,-0.4999999999999999,成長價值
55,福利,工作,-0.4999999999999999,經濟報酬
56,工作氛圍,工作,0.49999999999999983,人際價值
57,同事互動,工作,1.0,人際價值
58,工作環境,工作,0.49999999999999983,組織文化與制度
59,工學院,工作,1.0,科系專業
60,工作,工作,0.9999999999999998,招募資訊
61,正向,工作,0.49999999999999983,情緒
62,負向,工作,1.0,情緒
63,學習成長,正向,-0.9999999999999998,成長價值
64,福利,正向,0.4999999999999999,經濟報酬
65,工作氛圍,正向,0.9999999999999998,人際價值
66,同事互動,正向,0.5,人際價值
67,工作環境,正向,0.9999999999999998,組織文化與制度
68,工學院,正向,0.5,科系專業
69,工作,正向,0.49999999999999983,招募資訊
70,正向,正向,0.9999999999999998,情緒
71,負向,正向,0.5,情緒
72,學習成長,負向,-0.5,成長價值
73,福利,負向,-0.5,經濟報酬
74,工作氛圍,負向,0.5,人際價值
75,同事互動,負向,1.0,人際價值
76,工作環境,負向,0.5,組織文化與制度
77,工學院,負向,1.0,科系專業
78,工作,負向,1.0,招募資訊
79,正向,負向,0.5,情緒
80,負向,負向,1.0,情緒
