,item1,item2,value,class
0,管理制度,管理制度,1.0,經濟報酬
1,工作氛圍,管理制度,-0.19999999999999996,人際價值
2,主管風格,管理制度,-0.316227766016838,人際價值
3,文學院,管理制度,-0.2,科系專業
4,面試,管理制度,-0.632455532033676,招募資訊
5,招募人員,管理制度,-0.2927700218845599,招募資訊
6,正向,管理制度,-0.19999999999999996,情緒
7,負向,管理制度,-0.19999999999999996,情緒
8,管理制度,工作氛圍,-0.19999999999999998,經濟報酬
9,工作氛圍,工作氛圍,1.0,人際價值
10,主管風格,工作氛圍,0.6324555320336761,人際價值
11,文學院,工作氛圍,-0.19999999999999998,科系專業
12,面試,工作氛圍,0.31622776601683794,招募資訊
13,招募人員,工作氛圍,0.29277002188455997,招募資訊
14,正向,工作氛圍,1.0,情緒
15,負向,工作氛圍,1.0,情緒
16,管理制度,主管風格,-0.316227766016838,經濟報酬
17,工作氛圍,主管風格,0.6324555320336761,人際價值
18,主管風格,主管風格,1.0,人際價值
19,文學院,主管風格,-0.31622776601683805,科系專業
20,面試,主管風格,0.5000000000000002,招募資訊
21,招募人員,主管風格,0.9258200997725519,招募資訊
22,正向,主管風格,0.6324555320336761,情緒
23,負向,主管風格,0.6324555320336761,情緒
24,管理制度,文學院,-0.2,經濟報酬
25,工作氛圍,文學院,-0.19999999999999998,人際價值
26,主管風格,文學院,-0.31622776601683805,人際價值
27,文學院,文學院,1.0,科系專業
28,面試,文學院,-0.6324555320336761,招募資訊
29,招募人員,文學院,-0.29277002188455997,招募資訊
30,正向,文學院,-0.19999999999999998,情緒
31,負向,文學院,-0.19999999999999998,情緒
32,管理制度,面試,-0.632455532033676,經濟報酬
33,工作氛圍,面試,0.31622776601683794,人際價值
34,主管風格,面試,0.5000000000000002,人際價值
35,文學院,面試,-0.6324555320336761,科系專業
36,面試,面試,1.0,招募資訊
37,招募人員,面試,0.46291004988627577,招募資訊
38,正向,面試,0.31622776601683794,情緒
39,負向,面試,0.31622776601683794,情緒
40,管理制度,招募人員,-0.2927700218845599,經濟報酬
41,工作氛圍,招募人員,0.29277002188455997,人際價值
42,主管風格,招募人員,0.9258200997725519,人際價值
43,文學院,招募人員,-0.29277002188455997,科系專業
44,面試,招募人員,0.4629100498862758,招募資訊
45,招募人員,招募人員,1.0,招募資訊
46,正向,招募人員,0.29277002188455997,情緒
47,負向,招募人員,0.29277002188455997,情緒
48,管理制度,正向,-0.19999999999999998,經濟報酬
49,工作氛圍,正向,1.0,人際價值
50,主管風格,正向,0.6324555320336761,人際價值
51,文學院,正向,-0.19999999999999998,科系專業
52,面試,正向,0.31622776601683794,招募資訊
53,招募人員,正向,0.29277002188455997,招募資訊
54,正向,正向,1.0,情緒
55,負向,正向,1.0,情緒
56,管理制度,負向,-0.19999999999999998,經濟報酬
57,工作氛圍,負向,1.0,人際價值
58,主管風格,負向,0.6324555320336761,人際價值
59,文學院,負向,-0.19999999999999998,科系專業
60,面試,負向,0.31622776601683794,招募資訊
61,招募人員,負向,0.29277002188455997,招募資訊
62,正向,負向,1.0,情緒
63,負向,負向,1.0,情緒
