,item1,item2,value,class
0,學習成長,學習成長,0.9999999999999999,成長價值
1,薪資,學習成長,-0.03253000243161777,經濟報酬
2,福利,學習成長,-0.046373889576016826,經濟報酬
3,管理制度,學習成長,0.10899640362841034,經濟報酬
4,工作氛圍,學習成長,0.32461722703211776,人際價值
5,同事互動,學習成長,-0.03253000243161777,人際價值
6,主管風格,學習成長,0.015684465563881998,人際價值
7,工作地點,學習成長,-0.03253000243161777,組織文化與制度
8,公司規模,學習成長,-0.046373889576016826,組織文化與制度
9,工作環境,學習成長,-0.06666666666666667,組織文化與制度
10,產業前景,學習成長,0.32461722703211776,組織文化與制度
11,變化性,學習成長,-0.046373889576016826,組織文化與制度
12,配備,學習成長,0.4245923585674995,產品與服務
13,品牌,學習成長,-0.046373889576016826,產品與服務
14,面試,學習成長,0.12896554740121055,招募資訊
15,學經歷,學習成長,-0.08304547985373996,招募資訊
16,徵才,學習成長,0.2969903479705339,招募資訊
17,實習,學習成長,-0.03253000243161777,招募資訊
18,工作,學習成長,0.3598637460328732,招募資訊
19,離職,學習成長,0.16151457061744964,招募資訊
20,證照,學習成長,-0.046373889576016826,招募資訊
21,招募人員,學習成長,-0.1129865365732064,招募資訊
22,正向,學習成長,0.49874992024652415,情緒
23,負向,學習成長,0.016123984548292992,情緒
24,學習成長,薪資,-0.03253000243161777,成長價值
25,薪資,薪資,1.0,經濟報酬
26,福利,薪資,0.7014723744122017,經濟報酬
27,管理制度,薪資,-0.0241749086936576,經濟報酬
28,工作氛圍,薪資,-0.022628141110071023,人際價值
29,同事互動,薪資,-0.015873015873015872,人際價值
30,主管風格,薪資,-0.05357264880782919,人際價值
31,工作地點,薪資,-0.015873015873015872,組織文化與制度
32,公司規模,薪資,-0.022628141110071023,組織文化與制度
33,工作環境,薪資,-0.03253000243161777,組織文化與制度
34,產業前景,薪資,-0.022628141110071023,組織文化與制度
35,變化性,薪資,-0.022628141110071023,組織文化與制度
36,配備,薪資,-0.021432398984452372,產品與服務
37,品牌,薪資,-0.022628141110071023,產品與服務
38,面試,薪資,-0.06955282182764387,招募資訊
39,學經歷,薪資,-0.04052204492365539,招募資訊
40,徵才,薪資,-0.026836379837912434,招募資訊
41,實習,薪資,-0.015873015873015872,招募資訊
42,工作,薪資,0.3917131009286688,招募資訊
43,離職,薪資,-0.02627034687463669,招募資訊
44,證照,薪資,-0.022628141110071023,招募資訊
45,招募人員,薪資,-0.05513178464199712,招募資訊
46,正向,薪資,-0.0050364134333710595,情緒
47,負向,薪資,0.07451173615296829,情緒
48,學習成長,福利,-0.046373889576016826,成長價值
49,薪資,福利,0.7014723744122017,經濟報酬
50,福利,福利,1.0,經濟報酬
51,管理制度,福利,-0.03446309445031951,經濟報酬
52,工作氛圍,福利,-0.03225806451612903,人際價值
53,同事互動,福利,-0.022628141110071023,人際價值
54,主管風格,福利,-0.07637171578242173,人際價值
55,工作地點,福利,-0.022628141110071023,組織文化與制度
56,公司規模,福利,-0.03225806451612903,組織文化與制度
57,工作環境,福利,-0.046373889576016826,組織文化與制度
58,產業前景,福利,-0.03225806451612903,組織文化與制度
59,變化性,福利,-0.03225806451612903,組織文化與制度
60,配備,福利,-0.030553446958494462,產品與服務
61,品牌,福利,-0.03225806451612903,產品與服務
62,面試,福利,-0.09915261721593187,招募資訊
63,學經歷,福利,-0.05776712868787001,招募資訊
64,徵才,福利,-0.03825721556091209,招募資訊
65,實習,福利,-0.022628141110071023,招募資訊
66,工作,福利,0.2503242243141034,招募資訊
67,離職,福利,-0.037450294313656915,招募資訊
68,證照,福利,-0.03225806451612903,招募資訊
69,招募人員,福利,-0.0785943775593369,招募資訊
70,正向,福利,0.012844550627133387,情緒
71,負向,福利,0.1062219110416219,情緒
72,學習成長,管理制度,0.10899640362841034,成長價值
73,薪資,管理制度,-0.0241749086936576,經濟報酬
74,福利,管理制度,-0.03446309445031951,經濟報酬
75,管理制度,管理制度,1.0,經濟報酬
76,工作氛圍,管理制度,0.18610071003172535,人際價值
77,同事互動,管理制度,-0.0241749086936576,人際價值
78,主管風格,管理制度,-0.006993615024395938,人際價值
79,工作地點,管理制度,-0.0241749086936576,組織文化與制度
80,公司規模,管理制度,-0.03446309445031951,組織文化與制度
81,工作環境,管理制度,-0.04954381983109561,組織文化與制度
82,產業前景,管理制度,-0.03446309445031951,組織文化與制度
83,變化性,管理制度,-0.03446309445031951,組織文化與制度
84,配備,管理制度,-0.032641956177716085,產品與服務
